iata_code,latitude_deg,longitude_deg
LAX,33.942501,-118.407997
ORD,41.9786,-87.9048
JFK,40.639447,-73.779317
ATL,33.6367,-84.428101
SFO,37.61899948120117,-122.375
EWR,40.692501,-74.168701
DFW,32.896801,-97.038002
LAS,36.083361,-115.151817
MCO,28.429399490356445,-81.30899810791016
DEN,39.861698150635,-104.672996521
MIA,25.79319953918457,-80.29060363769531
LGA,40.777199,-73.872597
IAD,38.9445,-77.455803
PHX,33.435302,-112.005905
SEA,47.449162,-122.311134
BOS,42.3643,-71.005203
PHL,39.87189865112305,-75.24109649658203
CLT,35.2140007019043,-80.94309997558594
IAH,29.984399795532227,-95.34140014648438
DTW,42.212398529052734,-83.35340118408203
DCA,38.8521,-77.037697
MSP,44.882,-93.221802
SLC,40.785749,-111.979746
FLL,26.072599,-80.152702
MDW,41.785999,-87.752403
SAN,32.7336006165,-117.190002441
BWI,39.1754,-76.668297
STL,38.748697,-90.370003
HNL,21.32062,-157.924228
PDX,45.58869934,-122.5979996
MSY,29.99340057373047,-90.25800323486328
TPA,27.975500106811523,-82.533203125
BNA,36.1245002746582,-86.6781997680664
CVG,39.048801,-84.667801
AUS,30.197535,-97.662015
PIT,40.49150085,-80.23290253
RDU,35.877601623535156,-78.7874984741211
SJC,37.362452,-121.929188
OAK,37.721298,-122.221001
MCI,39.2976,-94.713898
SAT,29.533701,-98.469803
MEM,35.04240036010742,-89.97669982910156
SNA,33.675701,-117.867996
HOU,29.645399,-95.2789
CLE,41.4117012024,-81.8498001099
IND,39.7173,-86.294403
DAL,32.847099,-96.851799
ABQ,35.040199,-106.609001
CMH,39.998001,-82.891899
MKE,42.947200775146484,-87.89659881591797
TUS,32.115004,-110.938053
JAX,30.49410057067871,-81.68789672851562
BDL,41.93851,-72.688066
BUF,42.94049835,-78.73220062
OKC,35.393101,-97.6007
ANC,61.1744,-149.996002
OGG,20.898543,-156.431212
SMF,38.69540023803711,-121.59100341796875
PBI,26.68320083618164,-80.09559631347656
OMA,41.3032,-95.894096
BUR,34.197703,-118.356378
ELP,31.80719948,-106.3779984
CHS,32.898602,-80.040497
PVD,41.725038,-71.425668
SDF,38.1744,-85.736
RNO,39.49909973144531,-119.76799774169922
ORF,36.8946,-76.201202
LGB,33.816523,-118.149891
SAV,32.12760162,-81.20210266
RSW,26.53619956970215,-81.75520324707031
RIC,37.50519943237305,-77.3197021484375
BHM,33.562901,-86.753502
BOI,43.5644,-116.223
KOA,19.738783,-156.045603
ALB,42.74829864501953,-73.80169677734375
ONT,34.055999755859375,-117.60099792480469
GRR,42.88079834,-85.52279663
HPN,41.06700134277344,-73.70760345458984
ROC,43.1189,-77.672401
TUL,36.19839859008789,-95.88809967041016
ICT,37.649899,-97.433098
SYR,43.11119842529297,-76.1063003540039
DAY,39.902401,-84.219398
DSM,41.534,-93.663101
MSN,43.1399,-89.337502
GEG,47.6199,-117.533997
PWM,43.646198,-70.309303
LIT,34.729582,-92.223728
COS,38.805801,-104.700996
TYS,35.811001,-83.994003
PSP,33.8297,-116.507004
MHT,42.932598,-71.435699
