FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE,time_delayed
01/01/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,700,657.0,1029,1012.0,0,0,2475,-3.0
01/01/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,800.0,1105,1055.0,0,0,2329,0.0
01/01/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,,850,,1,0,1069,
01/01/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,722.0,1105,1159.0,0,0,2556,22.0
01/01/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2254.0,58,56.0,0,0,1182,14.0
01/02/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,814.0,1133,1134.0,0,0,2475,14.0
01/02/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,758.0,1105,1142.0,0,0,2329,-2.0000000000000004
01/02/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,544.0,850,843.0,0,0,1069,1.0000000000000002
01/02/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658.0,1105,1042.0,0,0,2556,-2.0000000000000004
01/02/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,10.0,58,255.0,0,0,1182,-1300.0
01/03/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,753.0,1133,1055.0,0,0,2475,-7.0
01/03/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,756.0,1105,,1,0,2329,-4.000000000000001
01/03/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,540.0,850,911.0,0,0,1069,-3.0
01/03/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658.0,1105,1040.0,0,0,2556,-2.0000000000000004
01/03/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2250.0,58,148.0,0,0,1182,10.0
01/04/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727.0,1104,1051.0,0,0,2475,-3.0
01/04/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,632.0,850,920.0,0,0,1069,49.0
01/04/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,706.0,1105,1050.0,0,0,2556,6.0
01/04/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2237.0,58,214.0,0,0,1182,-3.0
01/05/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727.0,1104,1036.0,0,0,2475,-3.0
01/05/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,805.0,1104,1054.0,0,0,2329,5.0
01/05/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,700.0,1105,1034.0,0,0,2556,0.0
01/05/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2145,2142.0,2359,2348.0,0,0,1182,-3.0
01/06/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,728.0,1104,1044.0,0,0,2475,-2.0000000000000004
01/06/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,901.0,1104,1215.0,0,0,2329,61.00000000000001
01/06/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,730,728.0,1045,1044.0,0,0,1069,-2.0000000000000004
01/01/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,755.0,1624,1549.0,0,0,2475,-5.0
01/01/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,1406.0,2159,2149.0,0,0,2329,1.0000000000000002
01/01/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1551.0,2255,2341.0,0,0,2556,21.0
01/01/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,533.0,923,938.0,0,0,1182,18.0
01/02/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,852.0,1624,1655.0,0,0,2475,52.0
01/02/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,1417.0,2159,2156.0,0,0,2329,12.0
01/02/2022 00:00,G4,2,LAS,"Las Vegas, NV",NV,85,ATW,"Appleton, WI",WI,45,2344,46.0,510,604.0,0,0,1510,-1178.0
01/02/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1558.0,2255,2311.0,0,0,2556,28.0
01/02/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,,923,,1,0,1182,
01/03/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,756.0,1624,1615.0,0,0,2475,-4.000000000000001
01/03/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1405,,2159,,1,0,2329,
01/03/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1656.0,2255,23.0,0,0,2556,86.0
01/03/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,522.0,923,931.0,0,0,1182,7.0
01/04/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,759.0,1617,1615.0,0,0,2475,-1.0000000000000002
01/04/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1400,1436.0,2158,2250.0,0,0,2329,36.0
01/04/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1535.0,2255,2316.0,0,0,2556,5.0
01/04/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,544.0,923,933.0,0,0,1182,29.0
01/04/2022 00:00,WN,2,DAL,"Dallas, TX",TX,74,MCI,"Kansas City, MO",MO,64,825,854.0,1000,1029.0,0,0,461,29.0
01/04/2022 00:00,WN,2,HOU,"Houston, TX",TX,74,DAL,"Dallas, TX",TX,74,630,652.0,735,747.0,0,0,239,22.0
01/04/2022 00:00,WN,2,MCI,"Kansas City, MO",MO,64,RSW,"Fort Myers, FL",FL,33,1040,1108.0,1420,1439.0,0,0,1155,28.0
01/05/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,756.0,1617,1552.0,0,0,2475,-4.000000000000001
01/05/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1400,1402.0,2158,2123.0,0,0,2329,2.0000000000000004
01/05/2022 00:00,B6,2,FLL,"Fort Lauderdale, FL",FL,33,JFK,"New York, NY",NY,22,1115,1136.0,1405,1435.0,0,0,1069,21.0
01/05/2022 00:00,HA,2,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,1530,1543.0,2255,2321.0,0,0,2556,13.0
01/05/2022 00:00,NK,2,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,515,537.0,921,946.0,0,0,1182,22.0
01/05/2022 00:00,WN,2,DAL,"Dallas, TX",TX,74,MCI,"Kansas City, MO",MO,64,825,822.0,1000,940.0,0,0,461,-3.0
01/05/2022 00:00,WN,2,HOU,"Houston, TX",TX,74,DAL,"Dallas, TX",TX,74,630,633.0,735,729.0,0,0,239,3.0
01/05/2022 00:00,WN,2,MCI,"Kansas City, MO",MO,64,RSW,"Fort Myers, FL",FL,33,1040,1057.0,1420,1435.0,0,0,1155,17.000000000000004
01/06/2022 00:00,AA,2,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,800,1220.0,1617,2029.0,0,0,2475,260.00000000000006
01/06/2022 00:00,AS,2,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,1400,,2158,,1,0,2329,
01/06/2022 00:00,B6,2,FLL,"Fort Lauderdale, FL",FL,33,JFK,"New York, NY",NY,22,1115,1109.0,1405,1346.0,0,0,1069,-6.0
01/01/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1735,1814.0,2045,2136.0,0,0,2329,39.0
01/01/2022 00:00,HA,3,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,955,1040.0,1400,1433.0,0,0,2556,45.0
01/01/2022 00:00,NK,3,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,715,710.0,1126,1110.0,0,0,1182,-5.0
01/02/2022 00:00,AA,3,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1030,1025.0,1358,1341.0,0,0,2475,-5.0
01/02/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1735,1748.0,2045,2114.0,0,0,2329,13.0
01/02/2022 00:00,HA,3,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,955,949.0,1400,1350.0,0,0,2556,-6.0
01/02/2022 00:00,NK,3,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,715,,1126,,1,0,1182,
01/03/2022 00:00,AA,3,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1030,1026.0,1358,1353.0,0,0,2475,-4.000000000000001
01/03/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1735,1940.0,2045,2347.0,0,0,2329,125.00000000000001
01/03/2022 00:00,G4,3,ATW,"Appleton, WI",WI,45,LAS,"Las Vegas, NV",NV,85,600,644.0,755,826.0,0,0,1510,44.0
01/03/2022 00:00,HA,3,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,955,948.0,1400,1335.0,0,0,2556,-7.0
01/03/2022 00:00,NK,3,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,715,846.0,1126,1237.0,0,0,1182,91.0
01/04/2022 00:00,AA,3,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1130,1127.0,1502,1444.0,0,0,2475,-3.0
01/04/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1730,1728.0,2038,2038.0,0,0,2329,-2.0000000000000004
01/04/2022 00:00,HA,3,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,955,947.0,1400,1330.0,0,0,2556,-8.000000000000002
01/04/2022 00:00,NK,3,ORD,"Chicago, IL",IL,41,FLL,"Fort Lauderdale, FL",FL,33,715,717.0,1126,1127.0,0,0,1182,2.0000000000000004
01/04/2022 00:00,WN,3,DAL,"Dallas, TX",TX,74,HOU,"Houston, TX",TX,74,800,759.0,915,856.0,0,0,239,-1.0000000000000002
01/04/2022 00:00,WN,3,HOU,"Houston, TX",TX,74,LGB,"Long Beach, CA",CA,91,955,1019.0,1135,1144.0,0,0,1374,24.0
01/04/2022 00:00,WN,3,LGB,"Long Beach, CA",CA,91,SMF,"Sacramento, CA",CA,91,1210,1225.0,1335,1345.0,0,0,387,15.0
01/05/2022 00:00,AA,3,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1130,1211.0,1502,1531.0,0,0,2475,41.0
01/05/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1730,1753.0,2038,2103.0,0,0,2329,23.0
01/05/2022 00:00,HA,3,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,955,951.0,1400,1308.0,0,0,2556,-4.000000000000001
01/05/2022 00:00,WN,3,DAL,"Dallas, TX",TX,74,HOU,"Houston, TX",TX,74,800,755.0,915,853.0,0,0,239,-5.0
01/05/2022 00:00,WN,3,HOU,"Houston, TX",TX,74,LGB,"Long Beach, CA",CA,91,955,1022.0,1135,1155.0,0,0,1374,27.0
01/05/2022 00:00,WN,3,LGB,"Long Beach, CA",CA,91,SMF,"Sacramento, CA",CA,91,1210,1233.0,1335,1359.0,0,0,387,23.0
01/06/2022 00:00,AA,3,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,1130,1123.0,1502,1438.0,0,0,2475,-7.0
01/06/2022 00:00,AS,3,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,1730,1733.0,2038,2111.0,0,0,2329,3.0
01/01/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,834,857.0,1630,1648.0,0,0,2329,23.0
01/01/2022 00:00,HA,4,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2220,2243.0,545,602.0,0,0,2556,23.0
01/02/2022 00:00,AA,4,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,600,558.0,1422,1421.0,0,0,2475,-2.0000000000000004
01/02/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,834,835.0,1630,1607.0,0,0,2329,1.0000000000000002
01/02/2022 00:00,HA,4,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2220,2240.0,545,557.0,0,0,2556,20.0
01/02/2022 00:00,WN,4,DAL,"Dallas, TX",TX,74,LBB,"Lubbock, TX",TX,74,900,909.0,1010,1013.0,0,0,293,9.0
01/02/2022 00:00,WN,4,HOU,"Houston, TX",TX,74,DAL,"Dallas, TX",TX,74,700,658.0,805,816.0,0,0,239,-2.0000000000000004
01/03/2022 00:00,AA,4,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,600,557.0,1422,1415.0,0,0,2475,-3.0
01/03/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,834,,1630,,1,0,2329,
01/03/2022 00:00,HA,4,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2220,2236.0,545,601.0,0,0,2556,16.000000000000004
01/03/2022 00:00,WN,4,DAL,"Dallas, TX",TX,74,LBB,"Lubbock, TX",TX,74,900,,1010,,1,0,293,
01/03/2022 00:00,WN,4,HOU,"Houston, TX",TX,74,DAL,"Dallas, TX",TX,74,700,,805,,1,0,239,
01/04/2022 00:00,AA,4,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,600,552.0,1416,1351.0,0,0,2475,-8.000000000000002
01/04/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,830,832.0,1630,1620.0,0,0,2329,2.0000000000000004
01/04/2022 00:00,HA,4,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2220,2222.0,545,536.0,0,0,2556,2.0000000000000004
01/05/2022 00:00,AA,4,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,600,557.0,1416,1403.0,0,0,2475,-3.0
01/05/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,830,848.0,1630,1637.0,0,0,2329,18.0
01/05/2022 00:00,HA,4,HNL,"Honolulu, HI",HI,2,LAX,"Los Angeles, CA",CA,91,2220,2233.0,545,541.0,0,0,2556,13.0
01/06/2022 00:00,AA,4,LAX,"Los Angeles, CA",CA,91,JFK,"New York, NY",NY,22,600,555.0,1416,1358.0,0,0,2475,-5.0
01/06/2022 00:00,AS,4,SEA,"Seattle, WA",WA,93,DCA,"Washington, DC",VA,38,830,840.0,1630,1615.0,0,0,2329,10.0
